SLAdataPert1,SLAdataPert1_5,SLAdataRate6_30,SLAdataSSL30,SLAfitPert1,SLAfitPert1_5,SLAfitRate6_30,SLAfitSSL30,SLAstridesToAVGpert,SPdataPert1,SPdataPert1_5,SPdataRate6_30,SPdataSSL30,SPfitPert1,SPfitPert1_5,SPfitRate6_30,SPfitSSL30,SPstridesToAVGpert,STdataPert1,STdataPert1_5,STdataRate6_30,STdataSSL30,STfitPert1,STfitPert1_5,STfitRate6_30,STfitSSL30,STstridesToAVGpert,group,subject,condition,ID
-0.270532732439962,-0.238746558004207,-0.146851961009586,-0.0492107535220845,-0.270532732439962,-0.238746558004207,-0.146851961009586,-0.0492107535220845,3,-0.0662036092179391,-0.023428593668595,0.044995603519734,0.0977749008808788,-0.0662036092179391,-0.023428593668595,0.044995603519734,0.0977749008808788,3,0.0382676623242712,0.0618432655643509,0.13830724001675,0.105929521489561,0.0382676623242712,0.0618432655643509,0.13830724001675,0.105929521489561,3,1,I1,1,33
-0.100158151978176,-0.0977029626854612,-0.0707371091074841,-0.0247849509151964,-0.100158151978176,-0.0977029626854612,-0.0707371091074841,-0.0247849509151964,2,0.0792911592794526,0.0808997346612361,0.0976135041122992,0.111980515042987,0.0792911592794526,0.0808997346612361,0.0976135041122992,0.111980515042987,2,0.16164969582404,0.156677076115955,0.126398539564877,0.128054287855583,0.16164969582404,0.156677076115955,0.126398539564877,0.128054287855583,2,1,I1,2,33
-0.204824932847107,-0.174325091066485,-0.115315412068039,-0.000620692881285011,-0.204824932847107,-0.174325091066485,-0.115315412068039,-0.000620692881285011,12,0.0062702091865239,0.0290328181070609,0.082643417299484,0.154095490471727,0.0062702091865239,0.0290328181070609,0.082643417299484,0.154095490471727,12,0.0672323434705589,0.0924104719960091,0.100038217560363,0.120537273870937,0.0672323434705589,0.0924104719960091,0.100038217560363,0.120537273870937,12,1,I2,1,34
-0.0819487684020873,-0.0648467931556964,-0.036692909250063,0.0307296771879518,-0.0819487684020873,-0.0648467931556964,-0.036692909250063,0.0307296771879518,7,0.0929521314660862,0.137705389760045,0.126696742236677,0.157744158006645,0.0929521314660862,0.137705389760045,0.126696742236677,0.157744158006645,7,0.0548111891093302,0.0608096543290495,0.124457432209133,0.143742102485888,0.0548111891093302,0.0608096543290495,0.124457432209133,0.143742102485888,7,1,I2,2,34
-0.423560512574816,-0.411532842976812,-0.302332443044938,-0.0623736189337733,-0.423560512574816,-0.411532842976812,-0.302332443044938,-0.0623736189337733,4,-0.214550094379076,-0.206468292902864,-0.137338158375033,0.0872441950055689,-0.214550094379076,-0.206468292902864,-0.137338158375033,0.0872441950055689,4,0.0581847824447026,0.0841838534837109,0.132036578658504,0.115474003841681,0.0581847824447026,0.0841838534837109,0.132036578658504,0.115474003841681,4,1,I3,1,35
-0.274562219095658,-0.220733317151771,-0.133010421606069,-0.0404255844184115,-0.274562219095658,-0.220733317151771,-0.133010421606069,-0.0404255844184115,2,-0.107313651374177,-0.0709491905871475,0.0171851510105596,0.116729704148165,-0.107313651374177,-0.0709491905871475,0.0171851510105596,0.116729704148165,2,0.144511194146865,0.148409356674365,0.137908117299529,0.108955651573963,0.144511194146865,0.148409356674365,0.137908117299529,0.108955651573963,2,1,I3,2,35
-0.247198076003447,-0.229408421798028,-0.134130632793428,-0.000643366489402226,-0.247198076003447,-0.229408421798028,-0.134130632793428,-0.000643366489402226,4,0.0382113478730978,0.046868616094701,0.0728687548929402,0.151997415124348,0.0382113478730978,0.046868616094701,0.0728687548929402,0.151997415124348,4,-0.05366444819388,0.00815848778296028,0.0929817476099248,0.111618004998728,-0.05366444819388,0.00815848778296028,0.0929817476099248,0.111618004998728,4,1,I4,1,36
-0.335942857777865,-0.225968384097139,-0.0721159101117197,-0.00024567616137641,-0.335942857777865,-0.225968384097139,-0.0721159101117197,-0.00024567616137641,6,-0.0610990329059551,0.0131285582864854,0.0815178547935928,0.124976362673031,-0.0610990329059551,0.0131285582864854,0.0815178547935928,0.124976362673031,6,0.0525525608577554,0.0709651281623583,0.113507104390779,0.132030229369479,0.0525525608577554,0.0709651281623583,0.113507104390779,0.132030229369479,6,1,I4,2,36
-0.434703329450898,-0.396203318667,-0.267146709208446,-0.0801789114681881,-0.434703329450898,-0.396203318667,-0.267146709208446,-0.0801789114681881,11,-0.11141519974632,-0.0912782916156149,-0.0351486743215397,0.0689210628847091,-0.11141519974632,-0.0912782916156149,-0.0351486743215397,0.0689210628847091,11,-0.0260688042505086,-0.0059182398312767,0.0794550554177901,0.150470079286911,-0.0260688042505086,-0.0059182398312767,0.0794550554177901,0.150470079286911,11,1,I5,1,37
-0.25175351426182,-0.215030033502546,-0.125169714979734,-0.0443689388212417,-0.25175351426182,-0.215030033502546,-0.125169714979734,-0.0443689388212417,67,-0.0407703660960958,-0.00829148131818032,0.0708551821881396,0.0754201676000603,-0.0407703660960958,-0.00829148131818032,0.0708551821881396,0.0754201676000603,67,0.0879623106830793,0.1065452633442,0.0982694193242563,0.164367809687852,0.0879623106830793,0.1065452633442,0.0982694193242563,0.164367809687852,67,1,I5,2,37
