SLAdataPert1,SLAdataPert1_5,SLAdataRate6_30,SLAdataSSL30,SLAfitPert1,SLAfitPert1_5,SLAfitRate6_30,SLAfitSSL30,SLAstridesToAVGpert,SPdataPert1,SPdataPert1_5,SPdataRate6_30,SPdataSSL30,SPfitPert1,SPfitPert1_5,SPfitRate6_30,SPfitSSL30,SPstridesToAVGpert,STdataPert1,STdataPert1_5,STdataRate6_30,STdataSSL30,STfitPert1,STfitPert1_5,STfitRate6_30,STfitSSL30,STstridesToAVGpert,group,subject,condition,ID
-0.270532732439962,-0.238746558004207,-0.146851961009586,-0.0492107535220845,-0.270532732439962,-0.238746558004207,-0.146851961009586,-0.0492107535220845,3,-64.8450812088816,-24.793903230366,42.0016001876028,98.9762558972438,-64.8450812088816,-24.793903230366,42.0016001876028,98.9762558972438,3,35.2485451604609,57.0317825538245,132.30611837438,101.805082307546,35.2485451604609,57.0317825538245,132.30611837438,101.805082307546,3,1,I1,1,33
-0.100158151978176,-0.0977029626854612,-0.0707371091074841,-0.0247849509151964,-0.100158151978176,-0.0977029626854612,-0.0707371091074841,-0.0247849509151964,217,78.6378045333059,81.1556316817434,97.8746209395559,123.928941211366,78.6378045333059,81.1556316817434,97.8746209395559,123.928941211366,217,171.332435869843,165.408902014866,129.865045054669,141.382066363679,171.332435869843,165.408902014866,129.865045054669,141.382066363679,217,1,I1,2,33
-0.204824932847107,-0.174325091066485,-0.115315412068039,-0.000620692881285011,-0.204824932847107,-0.174325091066485,-0.115315412068039,-0.000620692881285011,13,3.84516479492187,25.3686533203125,81.2347775268555,172.264301249186,3.84516479492187,25.3686533203125,81.2347775268555,172.264301249186,13,64.2563778891007,88.0524169821183,101.901963856366,135.980828614685,64.2563778891007,88.0524169821183,101.901963856366,135.980828614685,13,1,I2,1,34
-0.0819487684020873,-0.0648467931556964,-0.036692909250063,0.0307296771879518,-0.0819487684020873,-0.0648467931556964,-0.036692909250063,0.0307296771879518,7,93.0754446411133,141.085203735352,135.376286804199,170.352184753418,93.0754446411133,141.085203735352,135.376286804199,170.352184753418,7,54.4958011908246,62.2985904924054,135.058261110452,155.946035203227,54.4958011908246,62.2985904924054,135.058261110452,155.946035203227,7,1,I2,2,34
-0.423560512574816,-0.411532842976812,-0.302332443044938,-0.0623736189337733,-0.423560512574816,-0.411532842976812,-0.302332443044938,-0.0623736189337733,6,-186.327040100098,-180.692292785645,-123.096206359863,89.2911288452148,-186.327040100098,-180.692292785645,-123.096206359863,89.2911288452148,6,49.0631851518094,71.3142127108822,123.620206975987,118.766335483458,49.0631851518094,71.3142127108822,123.620206975987,118.766335483458,6,1,I3,1,35
-0.274562219095658,-0.220733317151771,-0.133010421606069,-0.0404255844184115,-0.274562219095658,-0.220733317151771,-0.133010421606069,-0.0404255844184115,2,-101.577143859863,-68.1912271118164,18.3803400268555,117.017867329915,-101.577143859863,-68.1912271118164,18.3803400268555,117.017867329915,2,139.468052576969,145.750983403852,138.673323364193,109.514644643733,139.468052576969,145.750983403852,138.673323364193,109.514644643733,2,1,I3,2,35
-0.247198076003447,-0.229408421798028,-0.134130632793428,-0.000643366489402226,-0.247198076003447,-0.229408421798028,-0.134130632793428,-0.000643366489402226,4,25.8344616699219,35.8999147949219,64.038052734375,156.918473714193,25.8344616699219,35.8999147949219,64.038052734375,156.918473714193,4,-30.5034757660404,15.9771412748465,87.8134741152199,116.745739695929,-30.5034757660404,15.9771412748465,87.8134741152199,116.745739695929,4,1,I4,1,36
-0.335942857777865,-0.225968384097139,-0.0721159101117197,-0.00024567616137641,-0.335942857777865,-0.225968384097139,-0.0721159101117197,-0.00024567616137641,7,-57.0783874511719,14.2767065429687,81.5966027832031,129.705225626628,-57.0783874511719,14.2767065429687,81.5966027832031,129.705225626628,7,50.5575245054002,68.5878033367264,115.485804091253,139.690938846801,50.5575245054002,68.5878033367264,115.485804091253,139.690938846801,7,1,I4,2,36
-0.434703329450898,-0.396203318667,-0.267146709208446,-0.0801789114681881,-0.434703329450898,-0.396203318667,-0.267146709208446,-0.0801789114681881,296,-100.113365936279,-84.7116764831543,-38.7749220886231,70.2324473426456,-100.113365936279,-84.7116764831543,-38.7749220886231,70.2324473426456,296,-15.5004138168329,0.67448859055939,71.572556706226,155.280933430757,-15.5004138168329,0.67448859055939,71.572556706226,155.280933430757,296,1,I5,1,37
-0.25175351426182,-0.215030033502546,-0.125169714979734,-0.0443689388212417,-0.25175351426182,-0.215030033502546,-0.125169714979734,-0.0443689388212417,66,-43.0748893737793,-12.6624183654785,64.7531530492446,79.6851956685384,-43.0748893737793,-12.6624183654785,64.7531530492446,79.6851956685384,66,85.1454770568702,103.245175659669,96.7440192008583,173.875694309476,85.1454770568702,103.245175659669,96.7440192008583,173.875694309476,66,1,I5,2,37
-0.518786700242247,-0.490614671695357,-0.394590841404391,-0.0669608296818994,-0.518786700242247,-0.490614671695357,-0.394590841404391,-0.0669608296818994,6,-279.819841766357,-279.160624237061,-198.566447235107,89.253905329211,-279.819841766357,-279.160624237061,-198.566447235107,89.253905329211,6,118.616312032189,128.937705599496,137.979993749107,150.846502252326,118.616312032189,128.937705599496,137.979993749107,150.846502252326,6,1,I6,1,38
-0.102447996259143,-0.107531076081582,-0.0990093351729131,-0.0223642749466499,-0.102447996259143,-0.107531076081582,-0.0990093351729131,-0.0223642749466499,46,40.9167671203613,41.5891340637207,46.8218901672363,101.330800120036,40.9167671203613,41.5891340637207,46.8218901672363,101.330800120036,46,183.099182608213,189.129192262813,179.310688934958,199.959823015608,183.099182608213,189.129192262813,179.310688934958,199.959823015608,46,1,I6,2,38
-0.39277126651146,-0.357168952803655,-0.202333397427623,-0.082162082885306,-0.39277126651146,-0.357168952803655,-0.202333397427623,-0.082162082885306,300,-0.348643202224551,48.4896405414327,94.2690877785734,95.7838192749023,-0.348643202224551,48.4896405414327,94.2690877785734,95.7838192749023,300,57.6587840106076,57.9539576341485,60.1677265890734,110.515942844198,57.6587840106076,57.9539576341485,60.1677265890734,110.515942844198,300,1,I7,1,39
-0.343279831866433,-0.32970579030669,-0.187516129077781,-0.0498557619578308,-0.343279831866433,-0.32970579030669,-0.187516129077781,-0.0498557619578308,44,-59.0499221801758,-37.7659025878906,45.4387313842773,98.4388115437825,-59.0499221801758,-37.7659025878906,45.4387313842773,98.4388115437825,44,0,-6.06426261264527,65.5921855718006,139.413739455147,0,-6.06426261264527,65.5921855718006,139.413739455147,44,1,I7,2,39
