group,subject,condition,ID,SLA_MONOTONIC_FIT_nsmp_norm,SLA_MONOTONIC_FIT_ttr_norm,SLA_MONOTONIC_FIT_msrates,ST_MONOTONIC_FIT_nsmp_norm,ST_MONOTONIC_FIT_ttr_norm,ST_MONOTONIC_FIT_msrates,SP_MONOTONIC_FIT_nsmp_norm,SP_MONOTONIC_FIT_ttr_norm,SP_MONOTONIC_FIT_msrates,age,weight,height,BMI,PERC_REC_VAR,STD_IN,STD_FIN,STD_DIFF,STD_PERC_VAR,SLAdataPert1,SLAdataPert1_5,SLAdataRate6_30,SLAdataSSL30,SPdataPert1,SPdataPert1_5,SPdataRate6_30,SPdataSSL30,STdataPert1,STdataPert1_5,STdataRate6_30,STdataSSL30
1,I1,1,1,87,354,267,2,0,1,15,102,30,19,84.8,180,26.1728395061728,-0.629774367505035,0.0488256444136855,0.0232918458521325,-0.025533798561553,-0.522958762104859,-0.270532732439962,-0.238746558004207,-0.146851961009586,-0.0492107535220845,-0.0662036092179391,-0.023428593668595,0.044995603519734,0.0977749008808788,0.0382676623242712,0.0618432655643509,0.13830724001675,0.105929521489561
1,I1,2,1,278,496,56,292,470,1,292,469,1,19,84.8,180,26.1728395061728,-0.629774367505035,0.0488256444136855,0.0232918458521325,-0.025533798561553,-0.522958762104859,-0.100158151978176,-0.0977029626854612,-0.0707371091074841,-0.0247849509151964,0.0792911592794526,0.0808997346612361,0.0976135041122992,0.111980515042987,0.16164969582404,0.156677076115955,0.126398539564877,0.128054287855583
1,I2,1,2,128,348,282,2,0,1,185,403,266,22,65.7,170,22.7335640138408,-0.599908237425086,0.0194711952590558,0.0188026813075691,-0.000668513951486677,-0.0343334830036056,-0.204824932847107,-0.174325091066485,-0.115315412068039,-0.000620692881285011,0.0062702091865239,0.0290328181070609,0.082643417299484,0.154095490471727,0.0672323434705589,0.0924104719960091,0.100038217560363,0.120537273870937
1,I2,2,2,135,405,33,2,0,1,240,497,197,22,65.7,170,22.7335640138408,-0.599908237425086,0.0194711952590558,0.0188026813075691,-0.000668513951486677,-0.0343334830036056,-0.0819487684020873,-0.0648467931556964,-0.036692909250063,0.0307296771879518,0.0929521314660862,0.137705389760045,0.126696742236677,0.157744158006645,0.0548111891093302,0.0608096543290495,0.124457432209133,0.143742102485888
1,I3,1,3,31,96,115,5,67,3,28,76,100,20,94,178,29.6679712157556,-0.351775694512691,0.0280618289097036,0.0158828875476344,-0.0121789413620692,-0.43400383493386,-0.423560512574816,-0.411532842976812,-0.302332443044938,-0.0623736189337733,-0.214550094379076,-0.206468292902864,-0.137338158375033,0.0872441950055689,0.0581847824447026,0.0841838534837109,0.132036578658504,0.115474003841681
1,I3,2,3,119,315,120,2,0,1,106,273,117,20,94,178,29.6679712157556,-0.351775694512691,0.0280618289097036,0.0158828875476344,-0.0121789413620692,-0.43400383493386,-0.274562219095658,-0.220733317151771,-0.133010421606069,-0.0404255844184115,-0.107313651374177,-0.0709491905871475,0.0171851510105596,0.116729704148165,0.144511194146865,0.148409356674365,0.137908117299529,0.108955651573963
1,I4,1,4,25,198,146,4,165,69,21,55,27,28,88.5,180,27.3148148148148,0.359002720446663,0.0162174676616132,0.0271684047706603,0.0109509371090471,0.675255677245344,-0.247198076003447,-0.229408421798028,-0.134130632793428,-0.000643366489402226,0.0382113478730978,0.046868616094701,0.0728687548929402,0.151997415124348,-0.05366444819388,0.00815848778296028,0.0929817476099248,0.111618004998728
1,I4,2,4,26,77,76,6,14,7,35,82,33,28,88.5,180,27.3148148148148,0.359002720446663,0.0162174676616132,0.0271684047706603,0.0109509371090471,0.675255677245344,-0.335942857777865,-0.225968384097139,-0.0721159101117197,-0.00024567616137641,-0.0610990329059551,0.0131285582864854,0.0815178547935928,0.124976362673031,0.0525525608577554,0.0709651281623583,0.113507104390779,0.132030229369479
1,I5,1,5,221,442,426,168,378,385,194,422,323,22,81.8,184,24.1611531190926,-0.420861315739574,0.0351301969284802,0.0159805122906141,-0.0191496846378661,-0.545106099941654,-0.434703329450898,-0.396203318667,-0.267146709208446,-0.0801789114681881,-0.11141519974632,-0.0912782916156149,-0.0351486743215397,0.0689210628847091,-0.0260688042505086,-0.0059182398312767,0.0794550554177901,0.150470079286911
1,I5,2,5,38,108,40,67,181,86,15,41,13,22,81.8,184,24.1611531190926,-0.420861315739574,0.0351301969284802,0.0159805122906141,-0.0191496846378661,-0.545106099941654,-0.25175351426182,-0.215030033502546,-0.125169714979734,-0.0443689388212417,-0.0407703660960958,-0.00829148131818032,0.0708551821881396,0.0754201676000603,0.0879623106830793,0.1065452633442,0.0982694193242563,0.164367809687852
